,player_name,club_involved_name,season,age,fee_cleaned,LR,BWKNN,RF,GB,NN,LRstack,NNstack,SimpleAvg,LRdelta,BWKNNdelta,RFdelta,GBdelta,NNdelta
782,Javi Fuego,RCD Espanyol Barcelona,2016/2017,1.1236576979568222,0.9,0.0,5.989333333333333,3.124383333333335,3.9566050013246783,1.159434055722858,2.105638437109364,1.8081851881637057,2.845951144742841,-0.9,5.089333333333332,2.2243833333333347,3.0566050013246784,0.25943405572285794
783,Federico Ricci,US Sassuolo,2017/2018,-1.0732465268521263,2.7,0.9618652899645704,4.6739999999999995,5.690010000000001,3.3587922339665788,1.6122039854990862,2.2407007748508527,2.6117091058436506,3.259374301886047,-1.7381347100354296,1.974,2.9900100000000007,0.658792233966579,-1.087796014500914
784,Luke Shaw,Manchester United,2014/2015,-2.2937488739682093,33.75,24.12459790617445,15.165333333333333,13.203820000000007,21.054978299642094,31.656026761003872,26.775234663890267,28.393687095539487,21.040951260030752,-9.625402093825553,-18.58466666666667,-20.546179999999996,-12.695021700357902,-2.0939732389961314
785,Gonçalo Cardoso,West Ham United,2019/2020,-2.2937488739682093,2.7,5.769378107031207,3.969,5.7887366666666695,4.769806230140347,3.954314034243781,4.009690016246099,4.603015377720508,4.8502470076164,3.0693781070312065,1.269,3.0887366666666702,2.0698062301403466,1.2543140342437806
786,Jesé,Paris Saint-Germain,2016/2017,-1.0732465268521263,22.5,17.999251644719468,15.504000000000001,14.880906666666654,16.96628576889364,18.70291223311581,19.107604598793003,19.738953502641607,16.810671262679115,-4.500748355280532,-6.996,-7.619093333333348,-5.533714231106359,-3.797087766884189
787,Cristian Ansaldi,Torino FC,2019/2020,1.1236576979568222,2.25,7.1324514669472965,6.528,10.470420000000004,5.7406332798598605,1.1684726673891108,4.127469598218112,5.6757424313723615,6.207995482839254,4.8824514669472965,4.2780000000000005,8.220420000000004,3.4906332798598605,-1.0815273326108892
788,Leonel Vangioni,Middlesbrough FC,2017/2018,0.6354567591103891,1.53,3.1005738749602125,6.827999999999999,7.519996666666674,3.1681792776964106,0.8565947040523747,3.14059065375822,4.1563534314058455,4.294668904675134,1.5705738749602125,5.297999999999999,5.9899966666666735,1.63817927769641,-0.6734052959476253
789,Pietro Iemmello,Benevento Calcio,2018/2019,-0.3409451185824769,4.5,1.1992268099087608,4.328333333333334,4.24414666666666,2.7818649136218494,4.5563900208630805,3.588037814488968,2.6562907467694945,3.4219923488787374,-3.3007731900912387,-0.17166666666666594,-0.2558533333333397,-1.7181350863781506,0.05639002086308054
790,John Guidetti,Deportivo Alavés,2018/2019,-0.3409451185824769,3.6,6.688648303062631,6.0299999999999985,7.053016666666673,1.6324457970419586,2.456030879502813,4.2022448674713635,4.417885849358118,4.772028329254813,3.0886483030626306,2.4299999999999997,3.4530166666666733,-1.9675542029580413,-1.1439691204971871
791,Jordan Pickford,Everton FC,2017/2018,-1.0732465268521263,25.65,19.751969624338546,9.701999999999998,21.1225,15.880901647300151,18.808637216978312,17.844011077976216,17.886075195723468,17.053201697723402,-5.8980303756614525,-15.948,-4.527499999999995,-9.76909835269985,-6.841362783021688
